VideoStreamingService,Monthlyfee,Twitterfollowers(k),IOSratings(k),IOSrate,Googleplayratings(k),Googleplayrate,Subscribers(million)
Hulu,5.99,753.8,1200,4.7,400.719,4,30.4
Amazon Prime Video,8.99,1600,1700,4.8,1465.236,4.4,150
fuboTV,19.99,10,63,4.6,13,4,0.35
Sling TV,30,57.2,106.6,4.6,67,3.9,2.59
CBS All Access,5.99,29.5,132,4.5,0,1.6,8
Philo,20,4.612,3.5,1.2,1.4,4.1,0.05
Netflix,8.99,7500,179.3,4.1,8427.39,4.5,167.1
YouTube TV,49.99,231,35.2,4,80.53,3.7,2
HBO Now,14.99,33.5,3.8,2.8,70,3.1,8
Crackle,7.99,70,1.174,3.7,402.04,3.8,10
crunchroll,7.99,1100,326.003,4.7,419.815,3.2,2.6
Disney plus,6.99,1300,102.481,4.5,105.805,4.4,50
