VideoStreamingService,Monthlyfee,Monthlyfee,Twitterfollowers(k),Twitterfollowers(k),IOSratings(k),IOSratings(k),IOSrate,IOSrate,Googleplayratings(k),Googleplayratings(k),Googleplayrate,Googleplayrate,Subscribers(million),Subscribers(million)
Hulu,5.99,0.022222222,753.8,0.099953198,1200,0.705679098,4.7,0.972222222,400.719,0.047549597,4,0.827586207,30.4,0.181682131
Amazon Prime Video,8.99,0.088888889,1600,0.212849288,1700,1,4.8,1,1465.236,0.17386593,4.4,0.965517241,150,0.897635438
fuboTV,19.99,0.333333333,10,0.000718842,63,0.036393368,4.6,0.944444444,13,0.001542589,4,0.827586207,0.35,0.00179587
Sling TV,30,0.555777778,57.2,0.007016048,106.6,0.062058151,4.6,0.944444444,67,0.007950267,3.9,0.793103448,2.59,0.015205028
CBS All Access,5.99,0.022222222,29.5,0.003320442,132,0.077009653,4.5,0.916666667,0,0,1.6,0,8,0.047590542
Philo,20,0.333555556,4.612,0,3.5,0.001369181,1.2,0,1.4,0.000166125,4.1,0.862068966,0.05,0
Netflix,8.99,0.088888889,7500,1,179.3,0.10485241,4.1,0.805555556,8427.39,1,4.5,1,167.1,1
YouTube TV,49.99,1,231,0.03020364,35.2,0.020029126,4,0.777777778,80.53,0.009555746,3.7,0.724137931,2,0.011673152
HBO Now,14.99,0.222222222,33.5,0.003854103,3.8,0.001545773,2.8,0.444444444,70,0.008306249,3.1,0.517241379,8,0.047590542
Apple TV plus,4.99,0,15.4,0.001439285,,-0.000691065,,-0.333333333,,0,,-0.551724138,33.6,0.200838072
Crackle,7.99,0.066666667,70,0.008723765,1.174,0,3.7,0.694444444,402.04,0.047706348,3.8,0.75862069,10,0.059563005
crunchroll,7.99,0.066666667,1100,0.146141601,326.003,0.191207928,4.7,0.972222222,419.815,0.049815542,3.2,0.551724138,2.6,0.015264891
Disney plus,6.99,0.044444444,1300,0.172824676,102.481,0.059633535,4.5,0.916666667,105.805,0.012554895,4.4,0.965517241,,
